source,target,value
PSC,PSC,0.7808063304627736
PSC,JUNTS,0.00529914626621355
PSC,ERC,0.0032921867875036854
PSC,PP,0.002454441908920614
PSC,VOX,0.009450290401672345
PSC,COMUNS,0.07572006200270764
PSC,CUP,0.007985213215515142
PSC,Altres,0.041815476767490506
PSC,Cs,0.0004355661378566117
PSC,Abstenció,0.06949840539170331
JUNTS,PSC,0.0027371862437619125
JUNTS,JUNTS,0.5936815363670765
JUNTS,COMUNS,0.07346068273407973
JUNTS,Altres,0.15460525907829312
JUNTS,Abstenció,0.19837436775858283
ERC,JUNTS,0.112897985063479
ERC,ERC,0.6184957759014624
ERC,PP,0.03708569597345466
ERC,CUP,0.0018063516084582168
ERC,Altres,0.004047998941156041
ERC,Cs,0.0011112616553858052
ERC,Abstenció,0.005144074026584993
PP,PSC,0.0003311702289235281
PP,PP,0.8203834745307831
PP,VOX,0.006511291394284397
PP,Altres,0.0023743637561249578
PP,Abstenció,0.040498899266797186
VOX,ERC,0.001268103579166495
VOX,PP,0.00032080067419042814
VOX,VOX,0.9838883428114018
VOX,COMUNS,0.002815109047463252
VOX,CUP,0.0002477446222059845
VOX,Cs,0.0019828885566351134
VOX,Abstenció,0.012025634203122025
COMUNS,PSC,0.0032630485094188575
COMUNS,JUNTS,0.002035938270308378
COMUNS,PP,0.0029182407879463296
COMUNS,COMUNS,0.7560439405971213
COMUNS,Abstenció,0.013130507237814604
CUP,JUNTS,0.010105897150214179
CUP,PP,0.004383665583213254
CUP,CUP,0.9395693125199877
CUP,Abstenció,0.004181755333632823
ALIANÇA.CAT,VOX,0.00013483366858560558
ALIANÇA.CAT,ALIANÇA.CAT,1.0
ALIANÇA.CAT,Abstenció,0.005239641885423182
Altres,PSC,9.377575275434458e-06
Altres,JUNTS,1.2732070528591962e-05
Altres,PP,0.0011626588403988397
Altres,Altres,0.7473173019346339
Altres,Abstenció,0.00011785397023974782
Cs,JUNTS,0.013093460934116067
Cs,ERC,0.002236588206564702
Cs,PP,0.10853844917973347
Cs,COMUNS,0.0026832795632558285
Cs,CUP,0.0036470288317595988
Cs,Altres,0.049839599522301464
Cs,Cs,0.3960174397197878
Cs,Abstenció,0.02405166284153267
Abstenció,PSC,0.21285288697984667
Abstenció,JUNTS,0.26287330387806396
Abstenció,ERC,0.37470734552530277
Abstenció,PP,0.022752572521359482
Abstenció,VOX,1.5241724055896711e-05
Abstenció,COMUNS,0.08927692605537207
Abstenció,CUP,0.04674434920207338
Abstenció,Cs,0.6004528439303346
Abstenció,Abstenció,0.6277371980845666
