target,source,value
PSC,PSC,0.12106324073192258
PSC,JUNTS,0.0006343978935522876
PSC,ERC,0.0002493469350987416
PSC,PP,0.00014969395758315934
PSC,VOX,0.00041686175990816876
PSC,COMUNS,0.002451512727399663
PSC,CUP,0.00018104075402215931
PSC,Altres,0.0006945132536312498
PSC,Abstenció,0.03139972704799852
JUNTS,PSC,0.0004243979899090408
JUNTS,JUNTS,0.07107377248925731
JUNTS,COMUNS,0.0023783630641985654
JUNTS,Altres,0.00256783874803137
JUNTS,Abstenció,0.08962653122516652
ERC,JUNTS,0.013515808077844516
ERC,ERC,0.04684425157100086
ERC,PP,0.002261819511725026
ERC,CUP,4.0953603666964695e-05
ERC,Altres,6.723321441366068e-05
ERC,Abstenció,0.002324118365581233
PP,PSC,5.134761282436411e-05
PP,PP,0.05003436772815793
PP,VOX,0.000287219574693279
PP,Altres,3.9435807625479423e-05
PP,Abstenció,0.018297605183235303
VOX,ERC,9.604489698249116e-05
VOX,PP,1.9565312318200022e-05
VOX,VOX,0.043400298689753744
VOX,COMUNS,9.114197052067026e-05
VOX,CUP,5.6168660746540805e-06
VOX,Abstenció,0.005433241661141546
COMUNS,PSC,0.0005059324083368844
COMUNS,JUNTS,0.0002437364219065081
COMUNS,PP,0.0001779805874160587
COMUNS,COMUNS,0.0244776786207724
COMUNS,Abstenció,0.005932428822580827
CUP,JUNTS,0.0012098476891321908
CUP,PP,0.00026735538025459316
CUP,CUP,0.02130191545345316
CUP,Abstenció,0.0018893379685119777
ALIANÇA.CAT,VOX,5.9476479549796475e-06
ALIANÇA.CAT,ALIANÇA.CAT,0.020932
ALIANÇA.CAT,Abstenció,0.002367296402043621
Altres,PSC,1.4539836688808372e-06
Altres,JUNTS,1.524245287471444e-06
Altres,PP,7.090940001708484e-05
Altres,Altres,0.012412193067832334
Altres,Abstenció,5.324701302416927e-05
Cs,JUNTS,0.0015675098626495732
Cs,ERC,0.00016939695417700395
Cs,PP,0.006619651477022765
Cs,COMUNS,8.687385913997071e-05
Cs,CUP,8.268543767365362e-05
Cs,Altres,0.000827785908465905
Cs,Abstenció,0.010866661530118669
Abstenció,PSC,0.03300262727333825
Abstenció,JUNTS,0.03147040332037018
Abstenció,ERC,0.028379959642740905
Abstenció,PP,0.0013876566455051935
Abstenció,COMUNS,0.0028904297579687263
Abstenció,CUP,0.0010597878851094078
Abstenció,Abstenció,0.28361480478059764
