target,source,value
PSC,PSC,0.06883147538601603
PSC,JUNTS,4.061218826873604e-05
PSC,ERC,0.007324030908965719
PSC,COMUNS,0.0005211530550386393
PSC,CUP,0.0006140605255997239
PSC,Altres,0.00018414255705952607
PSC,Abstenció,0.08626696648734669
JUNTS,PSC,0.0034195262103634268
JUNTS,JUNTS,0.08649416152361998
JUNTS,PP,0.0139540342063205
JUNTS,COMUNS,0.001004925711520727
JUNTS,Altres,0.0014328953241975523
JUNTS,Abstenció,0.04604456033498013
ERC,JUNTS,0.03418631048347172
ERC,ERC,0.017584288691678208
ERC,PP,0.02069542958300773
ERC,COMUNS,0.004370716756733147
ERC,CUP,0.0048816888392794865
ERC,Altres,0.0019809095552730718
ERC,Abstenció,0.001119848574094957
PP,PSC,0.003298537833322283
PP,PP,0.029009933905656995
PP,Altres,5.3268639497468e-05
PP,Abstenció,0.057704077969683194
COMUNS,PSC,0.0004976935589105052
COMUNS,JUNTS,0.004126333796744879
COMUNS,PP,0.0004990140290825566
COMUNS,COMUNS,0.028198860466804303
COMUNS,Altres,3.711637663107464e-05
COMUNS,Abstenció,0.012879466103519869
CUP,PSC,5.163698006760931e-05
CUP,JUNTS,0.002941466795017997
CUP,ERC,0.0006406402116746986
CUP,PP,0.0010735350199501145
CUP,COMUNS,0.0003907988794403623
CUP,CUP,0.018753520119460156
CUP,Altres,0.00017464798493743095
CUP,Abstenció,0.0019314775368892648
Altres,PSC,0.0011504792931075983
Altres,JUNTS,0.00025671308058384124
Altres,ERC,0.001514868653537603
Altres,COMUNS,0.00014191266861434068
Altres,Altres,0.013901491901209118
Altres,Abstenció,0.0024592659155193318
Abstenció,PSC,0.08858626225362075
Abstenció,ERC,0.053944261754432205
Abstenció,Abstenció,0.27483098136924866
